Entity,Code,Year,Share of the population who are Jews
Afghanistan,AFG,2010,0.000106422
Afghanistan,AFG,2020,0.0000256593
Africa,OWID_AFR,2010,0.008158536
Africa,OWID_AFR,2020,0.004033727
Albania,ALB,2010,0.009593685
Albania,ALB,2020,0.010049576
Algeria,DZA,2010,0.000151956
Algeria,DZA,2020,0.000129986
Angola,AGO,2010,0.002140027
Angola,AGO,2020,0.001196584
Argentina,ARG,2010,0.44282106
Argentina,ARG,2020,0.38497812
Armenia,ARM,2010,0.003394095
Armenia,ARM,2020,0.003564289
Aruba,ABW,2010,0.35254142
Aruba,ABW,2020,0.35426697
Asia,OWID_ASI,2010,0.13750742
Asia,OWID_ASI,2020,0.1462927
Asia-Pacific (Pew),PEW_APA,2010,0.004394813
Asia-Pacific (Pew),PEW_APA,2020,0.004071864
Australia,AUS,2010,0.49647224
Australia,AUS,2020,0.4204121
Austria,AUT,2010,0.16190322
Austria,AUT,2020,0.060347393
Azerbaijan,AZE,2010,0.15987027
Azerbaijan,AZE,2020,0.084269956
Bahamas,BHS,2010,0.05577285
Bahamas,BHS,2020,0.049463592
Bahrain,BHR,2010,0.016314505
Bahrain,BHR,2020,0.014348853
Bangladesh,BGD,2010,0
Bangladesh,BGD,2020,0
Barbados,BRB,2010,0.04609456
Barbados,BRB,2020,0.045945168
Belarus,BLR,2010,0.12947741
Belarus,BLR,2020,0.074737325
Belgium,BEL,2010,0.27670664
Belgium,BEL,2020,0.25082782
Belize,BLZ,2010,0.18316923
Belize,BLZ,2020,0.19750811
Benin,BEN,2010,0.0000317604
Benin,BEN,2020,0.0000632755
Bhutan,BTN,2010,0.0000315132
Bhutan,BTN,2020,0.0000571363
Bolivia,BOL,2010,0.034531184
Bolivia,BOL,2020,0.004188951
Bosnia and Herzegovina,BIH,2010,0.013119613
Bosnia and Herzegovina,BIH,2020,0.015067414
Botswana,BWA,2010,0.004780882
Botswana,BWA,2020,0.00392711
Brazil,BRA,2010,0.055669174
Brazil,BRA,2020,0.04415848
Brunei,BRN,2010,0
Brunei,BRN,2020,0
Bulgaria,BGR,2010,0.049360912
Bulgaria,BGR,2020,0.04598915
Burkina Faso,BFA,2010,0
Burkina Faso,BFA,2020,0
Burundi,BDI,2010,0.00021914
Burundi,BDI,2020,0.000163663
Cambodia,KHM,2010,0
Cambodia,KHM,2020,0
Cameroon,CMR,2010,0.006340458
Cameroon,CMR,2020,0.00637948
Canada,CAN,2010,1.0001762
Canada,CAN,2020,0.9230463
Cape Verde,CPV,2010,0.012854642
Cape Verde,CPV,2020,0.012357545
Central African Republic,CAF,2010,0.003433427
Central African Republic,CAF,2020,0.003181721
Chad,TCD,2010,0
Chad,TCD,2020,0
Channel Islands,OWID_CIS,2010,0.06485395
Channel Islands,OWID_CIS,2020,0.06650472
Chile,CHL,2010,0.1632096
Chile,CHL,2020,0.08157169
China,CHN,2010,0.000228953
China,CHN,2020,0.000213027
Colombia,COL,2010,0.005801485
Colombia,COL,2020,0.004137866
Comoros,COM,2010,0
Comoros,COM,2020,0
Congo,COG,2010,0.002027994
Congo,COG,2020,0.001929089
Costa Rica,CRI,2010,0.054086197
Costa Rica,CRI,2020,0.05075047
Cote d'Ivoire,CIV,2010,0
Cote d'Ivoire,CIV,2020,0
Croatia,HRV,2010,0.012186487
Croatia,HRV,2020,0.015337282
Cuba,CUB,2010,0.009999
Cuba,CUB,2020,0.009999
Curacao,CUW,2010,0.19380616
Curacao,CUW,2020,0.19414404
Cyprus,CYP,2010,0.041759547
Cyprus,CYP,2020,0.043770704
Czechia,CZE,2010,0.025552208
Czechia,CZE,2020,0.025813967
Democratic Republic of Congo,COD,2010,0.000150622
Democratic Republic of Congo,COD,2020,0.000107697
Denmark,DNK,2010,0.14867795
Denmark,DNK,2020,0.1061272
Djibouti,DJI,2010,0
Djibouti,DJI,2020,0
Dominican Republic,DOM,2010,0.001022939
Dominican Republic,DOM,2020,0.000909119
East Timor,TLS,2010,0
East Timor,TLS,2020,0
Ecuador,ECU,2010,0.004002779
Ecuador,ECU,2020,0.003411301
Egypt,EGY,2010,0.000396393
Egypt,EGY,2020,0.000214229
El Salvador,SLV,2010,0.001635581
El Salvador,SLV,2020,0.001589135
Equatorial Guinea,GNQ,2010,0.003654555
Equatorial Guinea,GNQ,2020,0.06265474
Eritrea,ERI,2010,0.00031769
Eritrea,ERI,2020,0.000281225
Estonia,EST,2010,0.20576243
Estonia,EST,2020,0.13539495
Eswatini,SWZ,2010,0.01818314
Eswatini,SWZ,2020,0.0169558
Ethiopia,ETH,2010,0.00626561
Ethiopia,ETH,2020,0.004776543
Europe,OWID_EUR,2010,0.18764426
Europe,OWID_EUR,2020,0.16993849
Europe (Pew),PEW_EUR,2010,0.18723944
Europe (Pew),PEW_EUR,2020,0.16962473
Fiji,FJI,2010,0.018781014
Fiji,FJI,2020,0.020642705
Finland,FIN,2010,0.05153611
